comment_id,processed_text,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms,nrc_token_count,nrc_matched_token_count,nrc_anger,nrc_anticipation,nrc_fear,nrc_trust,nrc_sadness,nrc_hope,nrc_frustration
1547993305840267,don t play us just restore power uko,0.5574,positive,0.5574,0.479,0.521,0.0,positive,0.5574,positive,False,0.0,,8,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0
1912761259204872,give us update today its1st october ifyo,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455708920855129,instead power ve supplying lies,-0.4215,negative,-0.4215,0.0,0.588,0.412,negative,-0.4215,negative,False,0.0,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023281382878588,today 1st okutoba please ll friends stick u said bakaluku luku imwe,0.6597,positive,0.6597,0.375,0.625,0.0,positive,0.6597,positive,False,0.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8681389835237254,imwe ba zesco limited muliso ai,-0.2263,negative,-0.2263,0.0,0.725,0.275,negative,-0.2263,negative,False,0.0,,6,1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
513134628239402,ba zesco tell us another lie because today 1 october,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,10,1,0.1,0.0,0.0,0.0,0.1,0.0,0.1
895802559169859,ba zesco limited just give us power ivo,-0.2263,negative,-0.2263,0.0,0.787,0.213,negative,-0.2263,negative,False,0.0,,8,1,0.125,0.0,0.0,0.0,0.125,0.0,0.125
1591127564804080,ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi someone explain means please,0.3182,positive,0.3182,0.15,0.85,0.0,positive,0.3182,positive,False,0.0,,14,1,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
866372702125480,said imwee last time said pa 1 october nishi stop fooling us m shenu,-0.5994,negative,-0.5994,0.0,0.671,0.329,negative,-0.5994,negative,False,0.0,,14,1,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0
1628658844662216,angela baker exactly waiting,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628658844662216,tri cia phiri bunch crooks,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
