comment_id,processed_text,is_sarcastic,raw_compound,raw_label,compound,pos,neu,neg,label,corrected_compound,corrected_label,local_correction_applied,local_correction_score,local_correction_terms,nrc_token_count,nrc_matched_token_count,nrc_anger,nrc_anticipation,nrc_fear,nrc_trust,nrc_sadness,nrc_hope,nrc_frustration,roberta_label,roberta_raw_label,roberta_confidence,roberta_negative_score,roberta_neutral_score,roberta_positive_score
1547993305840267,don t play us just restore power uko,False,0.5574,positive,0.5574,0.479,0.521,0.0,positive,0.5574,positive,False,0.0,,8,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,neutral,neutral,0.6524803638458252,0.27598807215690613,0.6524803638458252,0.07153158634901047
1912761259204872,give us update today its1st october ifyo,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,0.8551502823829651,0.017936278134584427,0.8551502823829651,0.1269133985042572
455708920855129,instead power ve supplying lies,False,-0.4215,negative,-0.4215,0.0,0.588,0.412,negative,-0.4215,negative,False,0.0,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,negative,0.6491986513137817,0.6491986513137817,0.3276318311691284,0.023169584572315216
1023281382878588,today 1st okutoba please ll friends stick u said bakaluku luku imwe,False,0.6597,positive,0.6597,0.375,0.625,0.0,positive,0.6597,positive,False,0.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,0.8145356774330139,0.03150093927979469,0.8145356774330139,0.15396332740783691
8681389835237254,imwe ba zesco limited muliso ai,False,-0.2263,negative,-0.2263,0.0,0.725,0.275,negative,-0.2263,negative,False,0.0,,6,1,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,neutral,neutral,0.8819856643676758,0.028397899121046066,0.8819856643676758,0.08961637318134308
513134628239402,ba zesco tell us another lie because today 1 october,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,10,1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,negative,negative,0.7290709614753723,0.7290709614753723,0.2551316022872925,0.015797454863786697
895802559169859,ba zesco limited just give us power ivo,False,-0.2263,negative,-0.2263,0.0,0.787,0.213,negative,-0.2263,negative,False,0.0,,8,1,0.125,0.0,0.0,0.0,0.125,0.0,0.125,neutral,neutral,0.7946395874023438,0.1004050001502037,0.7946395874023438,0.10495538264513016
1591127564804080,ndemonapofye solar inganda nefi ifima pole tumona ngatuleya ku solwezi someone explain means please,False,0.3182,positive,0.3182,0.15,0.85,0.0,positive,0.3182,positive,False,0.0,,14,1,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,neutral,neutral,0.7881642580032349,0.1672099381685257,0.7881642580032349,0.044625721871852875
866372702125480,said imwee last time said pa 1 october nishi stop fooling us m shenu,False,-0.5994,negative,-0.5994,0.0,0.671,0.329,negative,-0.5994,negative,False,0.0,,14,1,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.0,neutral,neutral,0.572776734828949,0.3918924331665039,0.572776734828949,0.03533082455396652
1628658844662216,angela baker exactly waiting,False,0.0,neutral,0.0,0.0,1.0,0.0,neutral,0.0,neutral,False,0.0,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,0.7196596264839172,0.013971096836030483,0.7196596264839172,0.2663692831993103
